Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11437706,1081827E,true,Rx,0,8,2D,71,00,00,00,00,00,00,
11438412,108182FE,true,Tx,0,8,01,72,00,00,00,00,00,00,
11440007,1081827E,true,Rx,0,8,2E,71,00,00,00,00,00,00,
11439825,108182FE,true,Tx,0,8,02,72,00,00,00,00,00,00,
11441437,108182FE,true,Tx,0,8,03,72,00,00,00,00,00,00,
11442328,1081827E,true,Rx,0,8,2F,71,00,00,00,00,00,00,
11443602,108182FE,true,Tx,0,8,04,72,00,00,00,00,00,00,
11444719,1081827E,true,Rx,0,8,20,72,00,00,00,00,00,00,
11445430,108182FE,true,Tx,0,8,05,72,00,00,00,00,00,00,
11447013,1081827E,true,Rx,0,8,01,72,00,00,00,00,00,00,
11447381,108182FE,true,Tx,0,8,06,72,00,00,00,00,00,00,
11449325,1081827E,true,Rx,0,8,22,72,00,00,00,00,00,00,
11451611,1081827E,true,Rx,0,8,23,72,00,00,00,00,00,00,
11451835,108182FE,true,Tx,0,8,07,72,00,00,00,00,00,00,
11453091,108182FE,true,Tx,0,8,08,72,00,00,00,00,00,00,
11453924,1081827E,true,Rx,0,8,24,72,00,00,00,00,00,00,
11454307,108182FE,true,Tx,0,8,09,72,00,00,00,00,00,00,
11455481,108182FE,true,Tx,0,8,0A,72,00,00,00,00,00,00,
11456260,1081827E,true,Rx,0,8,25,72,00,00,00,00,00,00,
11456870,108182FE,true,Tx,0,8,0B,72,00,00,00,00,00,00,
11458099,108182FE,true,Tx,0,8,0C,72,00,00,00,00,00,00,
11458582,1081827E,true,Rx,0,8,26,72,00,00,00,00,00,00,
11459320,108182FE,true,Tx,0,8,0D,72,00,00,00,00,00,00,
11460495,108182FE,true,Tx,0,8,0E,72,00,00,00,00,00,00,
11460858,1081827E,true,Rx,0,8,27,72,00,00,00,00,00,00,
11461662,108182FE,true,Tx,0,8,0F,72,00,00,00,00,00,00,
11462793,108182FE,true,Tx,0,8,00,73,00,00,00,00,00,00,
11463188,1081827E,true,Rx,0,8,28,72,00,00,00,00,00,00,
11463949,108182FE,true,Tx,0,8,01,73,00,00,00,00,00,00,
11465039,108182FE,true,Tx,0,8,02,73,00,00,00,00,00,00,
11465524,1081827E,true,Rx,0,8,29,72,00,00,00,00,00,00,
11466185,108182FE,true,Tx,0,8,03,73,00,00,00,00,00,00,
11467818,1081827E,true,Rx,0,8,2A,72,00,00,00,00,00,00,
11467591,108182FE,true,Tx,0,8,04,73,00,00,00,00,00,00,
11468871,108182FE,true,Tx,0,8,05,73,00,00,00,00,00,00,
11470134,1081827E,true,Rx,0,8,2B,72,00,00,00,00,00,00,
11470237,108182FE,true,Tx,0,8,06,73,00,00,00,00,00,00,
11471697,108182FE,true,Tx,0,8,07,73,00,00,00,00,00,00,
11472458,1081827E,true,Rx,0,8,2C,72,00,00,00,00,00,00,
11473240,108182FE,true,Tx,0,8,08,73,00,00,00,00,00,00,
11474774,1081827E,true,Rx,0,8,2D,72,00,00,00,00,00,00,
11474557,108182FE,true,Tx,0,8,09,73,00,00,00,00,00,00,
11476012,108182FE,true,Tx,0,8,0A,73,00,00,00,00,00,00,
11477119,1081827E,true,Rx,0,8,2E,72,00,00,00,00,00,00,
11477287,108182FE,true,Tx,0,8,0B,73,00,00,00,00,00,00,
11478576,108182FE,true,Tx,0,8,0C,73,00,00,00,00,00,00,
11479429,1081827E,true,Rx,0,8,2F,72,00,00,00,00,00,00,
11479841,108182FE,true,Tx,0,8,0D,73,00,00,00,00,00,00,
11481052,108182FE,true,Tx,0,8,0E,73,00,00,00,00,00,00,
11481761,1081827E,true,Rx,0,8,20,73,00,00,00,00,00,00,
11482210,108182FE,true,Tx,0,8,0F,73,00,00,00,00,00,00,
11483352,108182FE,true,Tx,0,8,00,74,00,00,00,00,00,00,
11484119,1081827E,true,Rx,0,8,01,73,00,00,00,00,00,00,
11484530,108182FE,true,Tx,0,8,01,74,00,00,00,00,00,00,
11485664,108182FE,true,Tx,0,8,02,74,00,00,00,00,00,00,
11486426,1081827E,true,Rx,0,8,22,73,00,00,00,00,00,00,
11486824,108182FE,true,Tx,0,8,03,74,00,00,00,00,00,00,
11487586,1081827E,true,Rx,0,8,23,73,00,00,00,00,00,00,
11487991,108182FE,true,Tx,0,8,04,74,00,00,00,00,00,00,
11489492,108182FE,true,Tx,0,8,05,74,00,00,00,00,00,00,
11491065,1081827E,true,Rx,0,8,24,73,00,00,00,00,00,00,
11491444,108182FE,true,Tx,0,8,06,74,00,00,00,00,00,00,
11492585,108182FE,true,Tx,0,8,07,74,00,00,00,00,00,00,
11493366,1081827E,true,Rx,0,8,25,73,00,00,00,00,00,00,
11493792,108182FE,true,Tx,0,8,08,74,00,00,00,00,00,00,
11494900,108182FE,true,Tx,0,8,09,74,00,00,00,00,00,00,
11495714,1081827E,true,Rx,0,8,26,73,00,00,00,00,00,00,
11496083,108182FE,true,Tx,0,8,0A,74,00,00,00,00,00,00,
11497168,108182FE,true,Tx,0,8,0B,74,00,00,00,00,00,00,
11498015,1081827E,true,Rx,0,8,27,73,00,00,00,00,00,00,
11498305,108182FE,true,Tx,0,8,0C,74,00,00,00,00,00,00,
11499381,108182FE,true,Tx,0,8,0D,74,00,00,00,00,00,00,
11500326,1081827E,true,Rx,0,8,28,73,00,00,00,00,00,00,
11500491,108182FE,true,Tx,0,8,0E,74,00,00,00,00,00,00,
11501595,108182FE,true,Tx,0,8,0F,74,00,00,00,00,00,00,
11502635,1081827E,true,Rx,0,8,29,73,00,00,00,00,00,00,
11502741,108182FE,true,Tx,0,8,00,75,00,00,00,00,00,00,
11503790,1081827E,true,Rx,0,8,2A,73,00,00,00,00,00,00,
11503883,108182FE,true,Tx,0,8,01,75,00,00,00,00,00,00,
11505004,108182FE,true,Tx,0,8,02,75,00,00,00,00,00,00,
11506633,108182FE,true,Tx,0,8,03,75,00,00,00,00,00,00,
11507268,1081827E,true,Rx,0,8,2B,73,00,00,00,00,00,00,
11508184,108182FE,true,Tx,0,8,04,75,00,00,00,00,00,00,
11509573,1081827E,true,Rx,0,8,2C,73,00,00,00,00,00,00,
11509423,108182FE,true,Tx,0,8,05,75,00,00,00,00,00,00,
11510578,108182FE,true,Tx,0,8,06,75,00,00,00,00,00,00,
11511886,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
11511731,108182FE,true,Tx,0,8,07,75,00,00,00,00,00,00,
11513062,1081827E,true,Rx,0,8,2D,73,00,00,00,00,00,00,
11512918,108182FE,true,Tx,0,8,08,75,00,00,00,00,00,00,
