Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2319947,1081827E,true,Rx,0,8,26,89,00,00,00,00,00,00,
2320297,108182FE,true,Tx,0,8,0D,8A,00,00,00,00,00,00,
2321427,108182FE,true,Tx,0,8,0E,8A,00,00,00,00,00,00,
2322296,1081827E,true,Rx,0,8,27,89,00,00,00,00,00,00,
2322618,108182FE,true,Tx,0,8,0F,8A,00,00,00,00,00,00,
2324580,1081827E,true,Rx,0,8,28,89,00,00,00,00,00,00,
2324068,108182FE,true,Tx,0,8,00,8B,00,00,00,00,00,00,
2325564,108182FE,true,Tx,0,8,01,8B,00,00,00,00,00,00,
2326885,1081827E,true,Rx,0,8,29,89,00,00,00,00,00,00,
2326848,108182FE,true,Tx,0,8,02,8B,00,00,00,00,00,00,
2328035,1081827E,true,Rx,0,8,2A,89,00,00,00,00,00,00,
2328095,108182FE,true,Tx,0,8,03,8B,00,00,00,00,00,00,
2329330,108182FE,true,Tx,0,8,04,8B,00,00,00,00,00,00,
2330609,108182FE,true,Tx,0,8,05,8B,00,00,00,00,00,00,
2331502,1081827E,true,Rx,0,8,2B,89,00,00,00,00,00,00,
2331782,108182FE,true,Tx,0,8,06,8B,00,00,00,00,00,00,
2332992,108182FE,true,Tx,0,8,07,8B,00,00,00,00,00,00,
2333839,1081827E,true,Rx,0,8,2C,89,00,00,00,00,00,00,
2334246,108182FE,true,Tx,0,8,08,8B,00,00,00,00,00,00,
2335526,108182FE,true,Tx,0,8,09,8B,00,00,00,00,00,00,
2336146,1081827E,true,Rx,0,8,2D,89,00,00,00,00,00,00,
2336764,108182FE,true,Tx,0,8,0A,8B,00,00,00,00,00,00,
2338475,1081827E,true,Rx,0,8,2E,89,00,00,00,00,00,00,
2338061,108182FE,true,Tx,0,8,0B,8B,00,00,00,00,00,00,
2339308,108182FE,true,Tx,0,8,0C,8B,00,00,00,00,00,00,
2340799,1081827E,true,Rx,0,8,2F,89,00,00,00,00,00,00,
2340562,108182FE,true,Tx,0,8,0D,8B,00,00,00,00,00,00,
2341707,108182FE,true,Tx,0,8,0E,8B,00,00,00,00,00,00,
2343137,1081827E,true,Rx,0,8,20,8A,00,00,00,00,00,00,
2343329,108182FE,true,Tx,0,8,0F,8B,00,00,00,00,00,00,
2344590,108182FE,true,Tx,0,8,00,8C,00,00,00,00,00,00,
2345487,1081827E,true,Rx,0,8,21,8A,00,00,00,00,00,00,
2345785,108182FE,true,Tx,0,8,01,8C,00,00,00,00,00,00,
2346949,108182FE,true,Tx,0,8,02,8C,00,00,00,00,00,00,
2347798,1081827E,true,Rx,0,8,22,8A,00,00,00,00,00,00,
2348440,108182FE,true,Tx,0,8,03,8C,00,00,00,00,00,00,
2350098,1081827E,true,Rx,0,8,23,8A,00,00,00,00,00,00,
2349729,108182FE,true,Tx,0,8,04,8C,00,00,00,00,00,00,
2350896,108182FE,true,Tx,0,8,05,8C,00,00,00,00,00,00,
2352412,1081827E,true,Rx,0,8,24,8A,00,00,00,00,00,00,
2352286,108182FE,true,Tx,0,8,06,8C,00,00,00,00,00,00,
